longname,LOC,CYCLO,MAXNESTING,CC,CM,FANOUT,CountInput,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NOPL,label
ra-0.7.3-src_CleandDuplicate__org.apache.cassandra.service.RangeSliceResponseResolver.resolve.(Anon_2).isEqual,4,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0
re-R3_5_CleandDuplicate__org.eclipse.jdt.internal.core.hierarchy.TypeHierarchy.getImplementingClasses,9,2.0,1.0,1.0,1.0,1.0,3.0,0.0,6.0,1.0,3.0,3.0,3.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.5,2.0,2.0,2.0,1.0,1.0,0
6.0_CleandDuplicate__org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.DotMRPrinter.InnerPrinter.makeDumper,8,1.0,0.0,0.0,0.0,2.0,6.0,0.0,8.0,3.0,6.0,0.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0
2_2_3_1_CleandDuplicate__org.apache.struts2.el.lang.FunctionMapperImpl.writeExternal,3,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
c_CleandDuplicate__javax.security.auth.Subject.isReadOnly,4,1.0,0.0,3.0,4.0,0.0,5.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
.4-src_CleandDuplicate__org.apache.tools.ant.taskdefs.optional.ide.VAJAntToolGUI.getMessageContentPanel,19,3.0,2.0,0.0,0.0,5.0,4.0,0.0,15.0,1.0,11.0,4.0,9.0,3.0,0.0,8.0,11.0,1.0,10.0,3.0,3.0,1.0,1.0,0.0,0.0,0.27,3.0,3.0,3.0,1.0,1.0,0
N_0_30_1_CleandDuplicate__org.argouml.ui.TabText.refresh,4,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
0.17.0_CleandDuplicate__org.elasticsearch.cluster.routing.ImmutableShardRouting.getIndex,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
N_0_30_CleandDuplicate__org.argouml.notation.providers.uml.StateBodyNotationUml.StateBodyNotationUml,8,1.0,0.0,1.0,3.0,1.0,4.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.67,1.0,1.0,1.0,1.0,1.0,0
re-R3_1_1_CleandDuplicate__org.eclipse.jdt.internal.compiler.ast.AllocationExpression.manageSyntheticAccessIfNecessary,20,4.0,2.0,1.0,1.0,8.0,6.0,4.0,14.0,1.0,10.0,2.0,12.0,4.0,1.0,5.0,9.0,1.0,8.0,4.0,5.0,1.0,2.0,0.0,0.0,0.14,4.0,4.0,5.0,1.0,2.0,0
ta4-src_CleandDuplicate__xpetstore.domain.OrderItem.setItem,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
